tree,rep,insert_ms,lookup_ms,range_ms,erase_ms
B-tree,1,19.209,21.887,0.650,9.121
B-tree,2,17.411,18.740,0.330,7.093
B-tree,3,16.533,28.548,1.164,7.630
B-tree,4,18.979,23.134,0.369,6.662
B-tree,5,26.951,20.896,0.328,10.682
B-tree,6,18.181,17.914,0.364,7.621
B-tree,7,18.436,18.726,0.332,6.632
B-tree,8,17.834,17.808,0.339,6.583
B-tree,9,17.289,16.325,0.351,6.662
B-tree,10,16.889,15.249,1.132,7.082
B-tree,11,17.485,18.457,0.439,6.775
B-tree,12,17.222,18.223,0.390,7.765
B-tree,13,17.677,19.157,0.308,6.575
B-tree,14,17.523,20.700,0.389,7.321
B-tree,15,17.864,17.302,0.335,6.541
B-tree,16,18.034,18.149,0.357,7.325
B-tree,17,18.118,19.307,0.362,7.116
B-tree,18,17.350,19.187,0.331,6.714
B-tree,19,17.476,17.349,0.352,7.007
B-tree,20,17.386,15.465,0.350,7.656
B+-tree,1,17.505,17.880,0.306,8.745
B+-tree,2,16.643,20.691,0.325,7.311
B+-tree,3,16.467,18.256,0.329,6.678
B+-tree,4,17.233,17.205,0.314,6.968
B+-tree,5,18.275,16.985,0.327,8.530
B+-tree,6,16.479,19.106,0.357,7.522
B+-tree,7,17.808,17.282,0.313,6.886
B+-tree,8,17.484,16.510,0.337,7.761
B+-tree,9,16.589,16.383,0.336,7.210
B+-tree,10,18.817,16.399,0.315,7.433
B+-tree,11,16.931,18.912,0.310,7.022
B+-tree,12,16.703,19.096,0.347,7.671
B+-tree,13,17.657,21.435,0.397,9.578
B+-tree,14,16.666,26.424,0.383,6.871
B+-tree,15,28.499,20.428,0.320,9.355
B+-tree,16,17.781,31.252,0.316,10.326
B+-tree,17,24.917,28.801,1.096,6.914
B+-tree,18,21.630,30.940,0.367,6.923
B+-tree,19,20.057,17.005,0.314,8.971
B+-tree,20,18.088,15.565,0.341,6.835
B*-tree,1,21.564,16.598,0.346,8.051
B*-tree,2,21.069,15.880,0.350,6.646
B*-tree,3,21.000,15.766,0.336,6.264
B*-tree,4,24.654,17.377,0.588,6.586
B*-tree,5,22.057,18.064,0.345,10.466
B*-tree,6,21.112,16.840,0.325,7.948
B*-tree,7,22.248,20.607,0.308,6.546
B*-tree,8,21.922,15.357,0.495,6.151
B*-tree,9,20.303,17.329,0.326,6.034
B*-tree,10,21.795,16.799,0.333,6.660
B*-tree,11,21.812,15.409,0.300,6.354
B*-tree,12,23.239,19.425,0.324,6.387
B*-tree,13,21.499,18.529,0.320,6.124
B*-tree,14,23.723,15.641,0.308,6.633
B*-tree,15,21.065,14.783,0.425,6.297
B*-tree,16,21.927,17.468,0.370,8.360
B*-tree,17,22.392,16.560,0.294,6.833
B*-tree,18,21.587,15.703,0.297,6.751
B*-tree,19,20.453,16.854,0.328,7.314
B*-tree,20,21.470,16.191,0.298,6.078
